date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:11:59	951/951	---M--	200	added ('OK')	image/png	etag:%223b7-551935a01f177%22	http://theprogroup.co.nz/wp-content/plugins/revslider/public/assets/assets/gridtile_white.png	C:/My%20Web%20Sites/TheProGroup/theprogroup.co.nz/wp-content/plugins/revslider/public/assets/assets/gridtile_white.png	(from http://theprogroup.co.nz/wp-content/plugins/revslider/public/assets/css/settings.css?ver=5.4.5)
10:11:59	359246/359246	---M--	200	added ('OK')	image/jpeg	etag:%2257b4e-5519713dbe46b%22	http://theprogroup.co.nz/wp-content/themes/progroup/uploads//27277316_l.jpg	C:/My%20Web%20Sites/TheProGroup/theprogroup.co.nz/wp-content/themes/progroup/uploads/27277316_l.jpg	(from http://theprogroup.co.nz/)
10:11:59	938/938	---M--	200	added ('OK')	image/png	etag:%223aa-5519359ffcf76%22	http://theprogroup.co.nz/wp-content/plugins/revslider/public/assets/assets/gridtile_3x3.png	C:/My%20Web%20Sites/TheProGroup/theprogroup.co.nz/wp-content/plugins/revslider/public/assets/assets/gridtile_3x3.png	(from http://theprogroup.co.nz/wp-content/plugins/revslider/public/assets/css/settings.css?ver=5.4.5)
10:12:00	935/935	---M--	200	added ('OK')	image/png	etag:%223a7-5519359ffddc0%22	http://theprogroup.co.nz/wp-content/plugins/revslider/public/assets/assets/gridtile_3x3_white.png	C:/My%20Web%20Sites/TheProGroup/theprogroup.co.nz/wp-content/plugins/revslider/public/assets/assets/gridtile_3x3_white.png	(from http://theprogroup.co.nz/wp-content/plugins/revslider/public/assets/css/settings.css?ver=5.4.5)
10:12:00	184/184	---M--	200	added ('OK')	image/png	etag:%22b8-5519359fdda3c%22	http://theprogroup.co.nz/wp-content/plugins/revslider/public/assets/assets/coloredbg.png	C:/My%20Web%20Sites/TheProGroup/theprogroup.co.nz/wp-content/plugins/revslider/public/assets/assets/coloredbg.png	(from http://theprogroup.co.nz/wp-content/plugins/revslider/public/assets/css/settings.css?ver=5.4.5)
10:12:00	2545/2545	---M--	200	added ('OK')	image/gif	etag:%229f1-551935a037cb4%22	http://theprogroup.co.nz/wp-content/plugins/revslider/public/assets/assets/loader.gif	C:/My%20Web%20Sites/TheProGroup/theprogroup.co.nz/wp-content/plugins/revslider/public/assets/assets/loader.gif	(from http://theprogroup.co.nz/wp-content/plugins/revslider/public/assets/css/settings.css?ver=5.4.5)
10:12:00	187/187	---M--	200	added ('OK')	image/png	etag:%22bb-551934f8a528d%22	http://theprogroup.co.nz/wp-content/themes/namo/img/plus_icon.png	C:/My%20Web%20Sites/TheProGroup/theprogroup.co.nz/wp-content/themes/namo/img/plus_icon.png	(from http://theprogroup.co.nz/wp-content/themes/namo/css/shortcodes.css?ver=4.8)
10:12:01	1157/1157	---M--	200	added ('OK')	image/png	etag:%22485-551934f882399%22	http://theprogroup.co.nz/wp-content/themes/namo/img/dots.png	C:/My%20Web%20Sites/TheProGroup/theprogroup.co.nz/wp-content/themes/namo/img/dots.png	(from http://theprogroup.co.nz/wp-content/themes/namo/css/shortcodes.css?ver=4.8)
10:12:17	97852/97852	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%2217e3c-55193500938ac%22	http://theprogroup.co.nz/wp-content/themes/namo/fonts/fontello/be-themes.eot?24213162	C:/My%20Web%20Sites/TheProGroup/theprogroup.co.nz/wp-content/themes/namo/fonts/fontello/be-themes4850.eot	(from http://theprogroup.co.nz/wp-content/themes/namo/fonts/fontello/be-themes.css?ver=4.8)
10:12:17	97756/97756	---M--	200	added ('OK')	application/font-woff	etag:%2217ddc-5519350102ade%22	http://theprogroup.co.nz/wp-content/themes/namo/fonts/fontello/be-themes.woff?24213162	C:/My%20Web%20Sites/TheProGroup/theprogroup.co.nz/wp-content/themes/namo/fonts/fontello/be-themes4850.woff	(from http://theprogroup.co.nz/wp-content/themes/namo/fonts/fontello/be-themes.css?ver=4.8)
